n_active,sample_id,policy,throughput,rho,migrations,throughput_gain
2,0,Proposed,85.37873511127493,6.398180663001795,1,0.0
2,0,PdOracle,85.37873511127493,6.398180663001795,1,0.0
2,0,PerfOracle,85.37873511127493,6.283830959277116,0,0.0
2,0,HotCold,85.37873511127493,5.619128693995393,7,0.0
2,1,Proposed,112.34913617557923,15.006033389151138,2,0.0
2,1,PdOracle,112.34913617557923,16.426436924050083,3,0.0
2,1,PerfOracle,112.34913617557923,12.14863504471156,0,0.0
2,1,HotCold,112.34913617557923,12.435841371213991,4,0.0
2,2,Proposed,117.55231435832431,6.799364754899604,2,0.019546267634751757
2,2,PdOracle,117.55231435832431,6.799364754899604,2,0.019546267634751757
2,2,PerfOracle,117.55231435832431,5.826530371657396,1,0.019546267634751757
2,2,HotCold,117.50861364620808,5.590037377700399,4,-0.024154444481482074
3,0,Proposed,178.930060628859,8.732402042242247,4,0.18026358364113548
3,0,PdOracle,178.930060628859,8.732402042242247,2,0.18026358364113548
3,0,PerfOracle,178.930060628859,5.682874725579774,1,0.18026358364113548
3,0,HotCold,178.930060628859,5.6637691054358985,15,0.18026358364113548
3,1,Proposed,141.55330319906454,6.933364520669702,4,0.1745645297225451
3,1,PdOracle,141.55330319906454,6.933364520669702,2,0.1745645297225451
3,1,PerfOracle,141.55330319906454,5.833296685335572,1,0.1745645297225451
3,1,HotCold,141.55330319906454,5.612721568623175,15,0.1745645297225451
3,2,Proposed,72.00296652222072,16.35967735699897,4,0.0
3,2,PdOracle,72.00296652222072,16.36776422620369,2,0.0
3,2,PerfOracle,72.00296652222072,12.199379645885312,0,0.0
3,2,HotCold,72.00296652222072,13.064583870617543,3,0.0
4,0,Proposed,160.35111385705972,15.616087920647743,7,0.0
4,0,PdOracle,160.35111385705972,15.574190167146888,5,0.0
4,0,PerfOracle,160.35111385705972,12.657899766693843,0,0.0
4,0,HotCold,160.35111385705972,12.822051904700425,10,0.0
4,1,Proposed,202.93104946959923,8.244165481369576,4,0.0
4,1,PdOracle,202.93104946959923,8.188933483569956,3,0.0
4,1,PerfOracle,202.93104946959923,5.661315606791846,0,0.0
4,1,HotCold,202.93104946959923,8.16184322125299,15,0.0
4,2,Proposed,165.55429203980478,6.9813998719895904,5,0.0
4,2,PdOracle,165.55429203980478,6.9813998719895904,4,0.0
4,2,PerfOracle,165.55429203980478,5.6852833180753635,0,0.0
4,2,HotCold,165.55429203980478,5.7891287878393705,15,0.0
5,0,Proposed,226.93203831033946,8.206521993939402,2,0.0
5,0,PdOracle,226.93203831033946,8.212768447540961,2,0.0
5,0,PerfOracle,226.93203831033946,5.675447310997534,0,0.0
5,0,HotCold,226.93203831033946,7.970802684591281,15,0.0
5,1,Proposed,291.27919680443824,8.159908204242388,2,2.197148267258626
5,1,PdOracle,291.27919680443824,8.159908204242388,1,2.197148267258626
5,1,PerfOracle,291.27919680443824,7.111830915714982,1,2.197148267258626
5,1,HotCold,291.27919680443824,7.8482045437506125,8,2.197148267258626
5,2,Proposed,269.511973922879,8.217984724909533,5,0.0
5,2,PdOracle,269.511973922879,7.983637607720718,5,0.0
5,2,PerfOracle,269.511973922879,5.672860818100926,0,0.0
5,2,HotCold,269.511973922879,7.34162714463247,14,0.0
6,0,Proposed,288.30978458087424,8.42944793048114,5,0.0
6,0,PdOracle,288.30978458087424,8.42944793048114,4,0.0
6,0,PerfOracle,288.30978458087424,5.66303071170891,0,0.0
6,0,HotCold,288.30978458087424,5.682576431398855,15,0.0
6,1,Proposed,288.30978458087424,9.116745302993062,5,0.0
6,1,PdOracle,288.30978458087424,9.116745302993062,4,0.0
6,1,PerfOracle,288.30978458087424,5.781190800687268,0,0.0
6,1,HotCold,288.30978458087424,8.200590992056688,15,0.0
6,2,Proposed,277.90342821538405,7.095961118211466,7,0.08080688053195217
6,2,PdOracle,277.90342821538405,7.095961118211466,4,0.08080688053195217
6,2,PerfOracle,277.90342821538405,5.829044175642822,1,0.08080688053195217
6,2,HotCold,277.90342821538405,6.321845172922638,15,0.08080688053195217
7,0,Proposed,414.0346893455076,7.654430365413232,5,0.7201779397137216
7,0,PdOracle,414.0346893455076,8.213305345219029,4,0.7201779397137216
7,0,PerfOracle,414.0346893455076,5.658540012716751,1,0.7201779397137216
7,0,HotCold,414.0346893455076,7.436729110525578,12,0.7201779397137216
7,1,Proposed,339.28117448591877,9.324304042722044,10,0.0
7,1,PdOracle,339.28117448591877,8.910153733561897,5,0.0
7,1,PerfOracle,339.28117448591877,5.652951411781868,0,0.0
7,1,HotCold,339.28117448591877,8.82098832550213,15,0.0
7,2,Proposed,264.5276596263298,16.45593689010142,8,0.0
7,2,PdOracle,264.5276596263298,16.481277236775707,2,0.0
7,2,PerfOracle,264.5276596263298,12.185091530251585,0,0.0
7,2,HotCold,264.5276596263298,13.421938236979747,15,0.0
8,0,Proposed,390.2525643909633,7.095998413979135,7,0.2555854878517607
8,0,PdOracle,390.2525643909633,7.095847401751544,3,0.2555854878517607
8,0,PerfOracle,390.2525643909633,5.84513368637328,1,0.2555854878517607
8,0,HotCold,390.2525643909633,5.964860918092282,15,0.2555854878517607
8,1,Proposed,422.42614363801266,7.041021810534711,5,0.0
8,1,PdOracle,422.42614363801266,7.045400444242078,4,0.0
8,1,PerfOracle,422.42614363801266,5.751242942908433,0,0.0
8,1,HotCold,422.42614363801266,5.603419850805554,15,0.0
8,2,Proposed,331.10858407960967,7.746839404545428,7,3.3140749375083374
8,2,PdOracle,331.10858407960967,8.722772682707655,5,3.3140749375083374
8,2,PerfOracle,331.10858407960967,6.58531622239396,1,3.3140749375083374
8,2,HotCold,331.10858407960967,6.773376310979778,14,3.3140749375083374
9,0,Proposed,392.4863303501444,8.927067550826242,8,0.8638960158051532
9,0,PdOracle,392.4863303501444,9.35591934235481,6,0.8638960158051532
9,0,PerfOracle,392.4863303501444,5.71623491694293,1,0.8638960158051532
9,0,HotCold,392.4863303501444,5.765057953450881,15,0.8638960158051532
9,1,Proposed,499.4134244567826,9.171578085962704,11,0.0
9,1,PdOracle,499.4134244567826,8.865983573876747,5,0.0
9,1,PerfOracle,499.4134244567826,5.610810568512942,0,0.0
9,1,HotCold,499.4134244567826,8.824992325947491,15,0.0
9,2,Proposed,467.23984520973323,8.071374588275113,9,5.63767220946653
9,2,PdOracle,467.23984520973323,8.405117212577162,6,5.63767220946653
9,2,PerfOracle,467.23984520973323,5.600541191150654,1,5.63767220946653
9,2,HotCold,466.8099045567787,5.580407080756144,15,5.2077315565119875
10,0,Proposed,491.2408340504735,9.024906772121412,14,0.0
10,0,PdOracle,491.2408340504735,8.479893931723824,5,0.0
10,0,PerfOracle,491.2408340504735,5.65618496968831,0,0.0
10,0,HotCold,491.2408340504735,7.6714866960273635,15,0.0
10,1,Proposed,513.0080569320327,9.261928050110473,4,0.0
10,1,PdOracle,513.0080569320327,9.261928050110473,4,0.0
10,1,PerfOracle,513.0080569320327,5.85091581457771,0,0.0
10,1,HotCold,513.0080569320327,6.077665008765175,15,0.0
10,2,Proposed,513.0080569320327,9.099165984609597,9,0.0
10,2,PdOracle,513.0080569320327,9.959528293187887,6,0.0
10,2,PerfOracle,513.0080569320327,5.6600535826111456,0,0.0
10,2,HotCold,513.0080569320327,5.663234389000041,15,0.0
11,0,Proposed,537.0090457727729,8.904002709980649,6,3.623717181822826
11,0,PdOracle,537.0090457727729,9.964464292756713,5,3.623717181822826
11,0,PerfOracle,537.0090457727729,5.82867093872331,1,3.623717181822826
11,0,HotCold,537.0090457727729,6.283796708754272,15,3.623717181822826
11,1,Proposed,579.5889813853123,8.164073518910042,7,0.17480354938288656
11,1,PdOracle,579.5889813853123,8.160645181372972,3,0.17480354938288656
11,1,PerfOracle,579.5889813853123,5.60048698212875,1,0.17480354938288656
11,1,HotCold,579.5889813853123,5.994604528747342,15,0.17480354938288656
11,2,Proposed,408.31472878457555,8.464775326846162,10,0.9372882585232105
11,2,PdOracle,408.31472878457555,9.278917642180295,6,0.9372882585232105
11,2,PerfOracle,408.31472878457555,5.600393256765624,1,0.9372882585232105
11,2,HotCold,408.19773659977636,5.591109100213621,15,0.8202960737240232
12,0,Proposed,700.1107079672006,8.83893137853216,9,0.0
12,0,PdOracle,700.1107079672006,8.157580924332743,2,0.0
12,0,PerfOracle,700.1107079672006,5.766677866809078,0,0.0
12,0,HotCold,700.1107079672006,8.29970476482587,15,0.0
12,1,Proposed,598.3867920433074,10.872196636792133,12,4.707324468091883
12,1,PdOracle,598.3867920433074,10.803660690644351,5,4.707324468091883
12,1,PerfOracle,598.3867920433074,5.6677427136344525,1,4.707324468091883
12,1,HotCold,598.3867920433074,8.215299352226962,15,4.707324468091883
12,2,Proposed,640.966727655847,9.328673082523636,12,0.0
12,2,PdOracle,640.966727655847,8.929273614537784,7,0.0
12,2,PerfOracle,640.966727655847,5.890732450263929,0,0.0
12,2,HotCold,639.5983934631058,5.548126346302188,15,-1.3683341927411448
13,0,Proposed,622.3877808840476,9.172629353107403,12,5.565489819519826
13,0,PdOracle,622.3877808840476,9.172629353107403,7,5.565489819519826
13,0,PerfOracle,622.3877808840476,5.631739133753275,1,5.565489819519826
13,0,HotCold,622.3877808840476,5.619872622970857,15,5.565489819519826
13,1,Proposed,585.0110234542533,8.443174737829887,4,0.0
13,1,PdOracle,585.0110234542533,9.33442349188129,9,0.0
13,1,PerfOracle,585.0110234542533,6.84089936663891,0,0.0
13,1,HotCold,585.0110234542533,8.363116042441753,15,0.0
13,2,Proposed,627.5909590667927,8.252782951729245,4,0.0
13,2,PdOracle,627.5909590667927,8.245353335501656,3,0.0
13,2,PerfOracle,627.5909590667927,6.003774145300032,0,0.0
13,2,HotCold,627.5909590667927,8.203919052020415,15,0.0
14,0,Proposed,614.2151904777386,9.554880302899209,11,0.36677213338657566
14,0,PdOracle,614.2151904777386,9.182337771536883,3,0.36677213338657566
14,0,PerfOracle,614.2151904777386,5.601832513929301,1,0.36677213338657566
14,0,HotCold,614.2151904777386,9.075717025796735,15,0.36677213338657566
14,1,Proposed,678.5623489718372,9.168006435309925,12,5.522590115774506
14,1,PdOracle,678.5623489718372,8.914476989407508,8,5.522590115774506
14,1,PerfOracle,678.5623489718372,5.7086869282816135,1,5.522590115774506
14,1,HotCold,674.2103249665639,5.3551201024648,15,1.1705661105012268
14,2,Proposed,641.1855915420429,9.56370001590375,11,0.9407658507610677
14,2,PdOracle,641.1855915420429,9.56370001590375,5,0.9407658507610677
14,2,PerfOracle,641.1855915420429,5.831463623067648,1,0.9407658507610677
14,2,HotCold,641.1855915420429,5.8476833638083265,15,0.9407658507610677
15,0,Proposed,665.1865803827831,9.578694634975706,11,0.0
15,0,PdOracle,665.1865803827831,8.907740804632265,9,0.0
15,0,PerfOracle,665.1865803827831,5.637428561768057,0,0.0
15,0,HotCold,665.1865803827831,7.001471067370447,15,0.0
15,1,Proposed,675.5929367482731,8.163940024815735,7,2.5547599327547914
15,1,PdOracle,675.5929367482731,9.787644692366332,5,2.5547599327547914
15,1,PerfOracle,675.5929367482731,5.652224287608751,1,2.5547599327547914
15,1,HotCold,673.3876349936664,5.499937585478291,15,0.34945817814809743
15,2,Proposed,670.389758565528,9.612079852411327,14,0.0
15,2,PdOracle,670.389758565528,9.611276447158973,8,0.0
15,2,PerfOracle,670.389758565528,5.6667864074195755,0,0.0
15,2,HotCold,670.389758565528,5.977569095969749,15,0.0
16,0,Proposed,758.737905900367,10.865781457563337,5,0.0
16,0,PdOracle,758.737905900367,10.821685014704235,3,0.0
16,0,PerfOracle,758.737905900367,6.759877068122848,0,0.0
16,0,HotCold,758.737905900367,7.046271095344494,15,0.0
16,1,Proposed,769.1442622658572,9.460661968438604,11,0.0
16,1,PdOracle,769.1442622658572,9.460661968438604,9,0.0
16,1,PerfOracle,769.1442622658572,7.1266285824775135,0,0.0
16,1,HotCold,769.1442622658572,7.147757241848818,15,0.0
16,2,Proposed,672.6235245247092,9.212111270473576,11,0.21832198378172052
16,2,PdOracle,672.6235245247092,8.513913887952793,7,0.21832198378172052
16,2,PerfOracle,672.6235245247092,5.792669223455312,1,0.21832198378172052
16,2,HotCold,672.6235245247092,8.207595346793463,15,0.21832198378172052
17,0,Proposed,889.6659888477454,8.164289374739889,6,0.0
17,0,PdOracle,889.6659888477454,8.158852360185831,4,0.0
17,0,PerfOracle,889.6659888477454,5.7834339708488605,0,0.0
17,0,HotCold,889.6659888477454,6.238990356176978,15,0.0
17,1,Proposed,830.5220085363918,8.147457097632024,5,0.0
17,1,PdOracle,830.5220085363918,8.156509465596924,3,0.0
17,1,PerfOracle,830.5220085363918,5.8044744193710125,0,0.0
17,1,HotCold,830.5220085363918,7.077547005254536,15,0.0
17,2,Proposed,782.7388947411072,9.606085416883545,15,0.17800033971730045
17,2,PdOracle,782.7388947411072,10.825889858595303,4,0.17800033971730045
17,2,PerfOracle,782.7388947411072,5.6789536582621265,1,0.17800033971730045
17,2,HotCold,782.7388947411072,5.99787126406737,15,0.17800033971730045
18,0,Proposed,849.3198191943869,8.959104714456677,10,0.0
18,0,PdOracle,849.3198191943869,8.43224904446495,6,0.0
18,0,PerfOracle,849.3198191943869,5.710945279838918,0,0.0
18,0,HotCold,849.3198191943869,6.112966551811429,15,0.0
18,1,Proposed,951.0437351182801,9.559805089293913,11,0.0
18,1,PdOracle,951.0437351182801,9.553566560041187,8,0.0
18,1,PerfOracle,951.0437351182801,7.633180835485154,0,0.0
18,1,HotCold,951.0437351182801,7.689027222921875,15,0.0
18,2,Proposed,811.9430617645925,10.065087340692,11,0.0
18,2,PdOracle,811.9430617645925,9.021259022371375,9,0.0
18,2,PerfOracle,811.9430617645925,5.716491787030275,0,0.0
18,2,HotCold,811.9430617645925,5.650740797673384,15,0.0
19,0,Proposed,851.553585153568,8.16340841228224,7,8.11560455791448
19,0,PdOracle,851.553585153568,8.496179341021001,7,8.11560455791448
19,0,PerfOracle,851.553585153568,5.66778314323723,1,8.11560455791448
19,0,HotCold,851.2687309746055,5.591881781713879,15,7.830750378952075
19,1,Proposed,841.1472287880778,9.0010652432628,8,0.0
19,1,PdOracle,841.1472287880778,8.977649145241715,7,0.0
19,1,PerfOracle,841.1472287880778,5.64274793718638,0,0.0
19,1,HotCold,841.1472287880778,5.617911425332347,15,0.0
19,2,Proposed,932.4647883464808,8.15647776147702,8,0.0
19,2,PdOracle,932.4647883464808,9.183906856204327,11,0.0
19,2,PerfOracle,932.4647883464808,5.807879360837171,0,0.0
19,2,HotCold,932.2065402749797,5.5882263793814975,15,-0.25824807150104334
20,0,Proposed,919.0890197574265,9.357409813052659,9,0.0
20,0,PdOracle,919.0890197574265,9.393413203582123,8,0.0
20,0,PerfOracle,919.0890197574265,5.694894346906356,0,0.0
20,0,HotCold,919.0890197574265,6.240693133268469,15,0.0
20,1,Proposed,1004.2488909825056,9.151719028020187,15,1.0086382195539727
20,1,PdOracle,1004.2488909825056,9.197373676255207,9,1.0086382195539727
20,1,PerfOracle,1004.2488909825056,5.669204506652809,1,1.0086382195539727
20,1,HotCold,1004.2488909825056,8.298912709377445,15,1.0086382195539727
20,2,Proposed,966.8721335527111,8.505938402183643,11,0.0
20,2,PdOracle,966.8721335527111,9.393356149686857,9,0.0
20,2,PerfOracle,966.8721335527111,5.9109194092670725,0,0.0
20,2,HotCold,966.8721335527111,7.070468532057314,15,0.0
21,0,Proposed,1055.2202808875502,10.026345026633244,11,0.0
21,0,PdOracle,1055.2202808875502,10.018896188377774,6,0.0
21,0,PerfOracle,1055.2202808875502,5.789381673492293,0,0.0
21,0,HotCold,1055.2202808875502,5.995732987195842,15,0.0
21,1,Proposed,1017.8435234577556,7.886666382688311,7,0.0
21,1,PdOracle,1017.8435234577556,7.886668350756446,6,0.0
21,1,PerfOracle,1017.8435234577556,7.446941391477854,0,0.0
21,1,HotCold,1017.8435234577556,6.380091177130442,15,0.0
21,2,Proposed,1103.003394682835,9.39684870487478,15,0.0
21,2,PdOracle,1103.003394682835,9.013453839587033,9,0.0
21,2,PerfOracle,1103.003394682835,6.350725480773666,0,0.0
21,2,HotCold,1103.003394682835,6.222553626886906,15,0.0
22,0,Proposed,1041.8445122984958,9.103313025298656,15,5.211523692389164
22,0,PdOracle,1041.8445122984958,8.244048237032207,3,5.211523692389164
22,0,PerfOracle,1041.8445122984958,5.880200982332409,1,5.211523692389164
22,0,HotCold,1037.3362742418,5.430185374984775,15,0.703285635693419
22,1,Proposed,1121.8012053408304,9.286596461379512,13,0.0
22,1,PdOracle,1121.8012053408304,9.537253583245729,9,0.0
22,1,PerfOracle,1121.8012053408304,5.826684395598062,0,0.0
22,1,HotCold,1121.8012053408304,5.768046097381766,15,0.0
22,2,Proposed,1052.2508686639862,9.402257998824815,15,0.0
22,2,PdOracle,1052.2508686639862,9.570136041553422,7,0.0
22,2,PerfOracle,1052.2508686639862,5.768261256029049,0,0.0
22,2,HotCold,1052.2508686639862,7.712727001353559,15,0.0
23,0,Proposed,1076.2518575047266,9.211559860371022,11,0.0
23,0,PdOracle,1076.2518575047266,9.14415989942599,8,0.0
23,0,PerfOracle,1076.2518575047266,6.74821813680392,0,0.0
23,0,HotCold,1076.2518575047266,6.973493862609075,15,0.0
23,1,Proposed,1188.3821297941101,9.422956158803878,15,0.0
23,1,PdOracle,1188.3821297941101,9.407568732036358,8,0.0
23,1,PerfOracle,1188.3821297941101,5.961621674882884,0,0.0
23,1,HotCold,1188.3821297941101,5.956333246912906,15,0.0
23,2,Proposed,1231.9165755572283,9.311445342443792,15,0.0
23,2,PdOracle,1231.9165755572283,9.335865398878402,8,0.0
23,2,PerfOracle,1231.9165755572283,5.763383492126171,0,0.0
23,2,HotCold,1231.9165755572283,6.069527381350709,15,0.0
24,0,Proposed,1116.816891044281,8.319915850416358,15,1.3668441451388844
24,0,PdOracle,1116.816891044281,9.256594548917986,7,1.3668441451388844
24,0,PerfOracle,1116.816891044281,5.612429142080523,1,1.3668441451388844
24,0,HotCold,1113.0467212133228,5.42958955290442,15,-2.4033256858192544
24,1,Proposed,1122.0200692270262,9.394907048153994,15,0.6390378095818505
24,1,PdOracle,1122.0200692270262,9.394166930696487,9,0.6390378095818505
24,1,PerfOracle,1122.0200692270262,5.692172681208107,1,0.6390378095818505
24,1,HotCold,1119.469565401219,5.503543228374418,15,-1.911466016225404
24,2,Proposed,1148.9904702913304,8.159444979942228,5,0.0
24,2,PdOracle,1148.9904702913304,8.15940118915729,3,0.0
24,2,PerfOracle,1148.9904702913304,5.835763221317623,0,0.0
24,2,HotCold,1148.9904702913304,5.623193934127322,15,0.0
25,0,Proposed,1220.7745729273556,9.37065841860934,15,0.0
25,0,PdOracle,1220.7745729273556,9.529788540750495,9,0.0
25,0,PerfOracle,1220.7745729273556,5.765984335173936,0,0.0
25,0,HotCold,1220.7745729273556,5.766306044835793,15,0.0
25,1,Proposed,1225.9777511101006,9.558024342951487,15,0.0
25,1,PdOracle,1225.9777511101006,9.553535285244912,15,0.0
25,1,PerfOracle,1225.9777511101006,6.2349629351427165,0,0.0
25,1,HotCold,1225.9777511101006,5.650039539195333,15,0.0
25,2,Proposed,1124.2538351862072,8.15704010228482,6,0.8445267385434363
25,2,PdOracle,1124.2538351862072,8.156409410358009,3,0.8445267385434363
25,2,PerfOracle,1124.2538351862072,5.909237958896711,1,0.8445267385434363
